Date,Time,Views,Likes,Comments,Caption,Hashtags
18-03-2021,15:32:45,870452,70376,227,"LIKE & Follow for More Tech Videos😍🤟
.
.
.
.
.
.
.
.
#Tips #Tricks #Hacks #Photo #photography #oldphoto #nostalgia #TechHacks #TechVideos #TechnologyGyan #ManojSaru #reels #techyoutuber #Technology #Tech","#Tips, #Tricks, #Hacks, #Photo, #photography, #oldphoto, #nostalgia, #TechHacks, #TechVideos, #TechnologyGyan, #ManojSaru, #reels, #techyoutuber, #Technology, #Tech"
17-03-2021,14:14:18,166824,21935,91,"Shortcut🤟🤪Like & Follow for More Tech Tips🤟
.
.
.
.
.
.
.
#Computer #Keyboard #Tips #Tricks #Hacks #howto #Learn #TechnologyGyan #ManojSaru #DidYouKnow #techvideos #techhacks","#Computer, #Keyboard, #Tips, #Tricks, #Hacks, #howto, #Learn, #TechnologyGyan, #ManojSaru, #DidYouKnow, #techvideos, #techhacks"
16-03-2021,13:02:14,1808706,161407,553,"Useful tip for students 😍🤟
.
.
.
.
.
.
.
.
.
.
.
#Students #learn #College #Books #Tech #Tips #Tricks #TechnologyGyan #ManojSaru #TechGyan #Hacks #DidYouKnow","#Students, #learn, #College, #Books, #Tech, #Tips, #Tricks, #TechnologyGyan, #ManojSaru, #TechGyan, #Hacks, #DidYouKnow"
14-03-2021,06:36:19,0,36888,348,Happy Sunday Guys😊🤟,
13-03-2021,12:41:10,1151137,118871,504,"Popat 🤪😅LIKE & Follow For TechVideos🤪
.
.
.
.
.
.
.
.
#Tech #Hacks #Tips #Tricks #hacker #Android #iphone #website #DidYouKnow #Trick #TechnologyGyan #TechGyan #ManojSaru #Ios","#Tech, #Hacks, #Tips, #Tricks, #hacker, #Android, #iphone, #website, #DidYouKnow, #Trick, #TechnologyGyan, #TechGyan, #ManojSaru, #Ios"
12-03-2021,12:46:10,2269617,222482,1444,"Useful Android Hack 😍
Like & Follow for More #TechHacks 
.
.
.
.
.
.
.
.
.
.
#Hacks #Tips #Tricks #AndroidHacks #tipsandtricks #Smartphone #Mobile #Computer #Mobile #Internet #TechnologyGyan #ManojSaru #technews #tech #techyoutuber #Howto #Learn","#TechHacks, #Hacks, #Tips, #Tricks, #AndroidHacks, #tipsandtricks, #Smartphone, #Mobile, #Computer, #Mobile, #Internet, #TechnologyGyan, #ManojSaru, #technews, #tech, #techyoutuber, #Howto, #Learn"
10-03-2021,13:35:42,0,17793,192,It was a wonderful experience to share my journey with you Guys Thanks for the Invite @joshtalkslive 🤟🤟 #MyStory #JoshTalk,"#MyStory, #JoshTalk"
08-03-2021,15:37:52,0,49835,1262,"Finally Apna Ghar #grahpravesh🏠 
🙏🙏 : Mujhe aaj bhi vo din jab Mein Kiraye ke Ghar pe rehta tha, socha karta tha kash apna ghar hota . lekin us wakt sach batau to ek Ghar buy karna ka soch bhi nahi sakta tha Aukat se bahar tha

Lekin dosto aaj Aap logo ke pyar aur support ki wajah se aaj mein #4Bhk flat Buy Kar paya hu , 
agar dosto ye mein kar sakta hu to aap kyo nhi 

mene abhi tak life mein ek chiz jarur sikhi hai agar aap kuch karna chahte ho kuch pana chahte hai to aapko koi rok nahi sakta lagan + Hardwork karoge to life mein har chiz hasil Kar sakte ho😊😊","#grahpravesh, #4Bhk"
06-03-2021,08:21:38,0,20329,274,#BTS Ye Mein Hu Aur Ye Meri Choti Hai😅😂Aur Unboxing Ho Rahi hai 😁😁,#BTS
05-03-2021,07:57:27,0,25037,189,"Mere Karan Arjun ❤️♥️🤟😅
Bole to 2Anmol Ratan 😁😁",
26-02-2021,15:43:36,2456786,250904,427,"Most Dangerous Hacker🎭
.
.
.
.
.
.
.
.
.
.
.
#Hacker #Facts #TechFacs #Top #Tech #Technology #ManojSaru #TechnologyGyan #Tips #Tricks #Howto #techyoutuber #technews #DidYouKnow","#Hacker, #Facts, #TechFacs, #Top, #Tech, #Technology, #ManojSaru, #TechnologyGyan, #Tips, #Tricks, #Howto, #techyoutuber, #technews, #DidYouKnow"
25-02-2021,14:45:04,0,30608,273,"2Gaj Ki Duri Mask Hai Jaruri 😅😅🤟
Yaad Haina 🤪🙏",
23-02-2021,13:12:12,1513835,94132,427,"kya aap Jante ho Ye 😳😳
.
.
.
.
.
.
.
.
.
#reels #google #howto #tracking #Data #Howto #BeSafe #Tech #TechnologyGyan #ManojSaru #tipsandtricks #learn #technology","#reels, #google, #howto, #tracking, #Data, #Howto, #BeSafe, #Tech, #TechnologyGyan, #ManojSaru, #tipsandtricks, #learn, #technology"
21-02-2021,08:30:30,0,24667,265,"How i Started My Journey
Full Video on Youtube 🤪🤟
.
.
.
.
#TechnologyGyan #manojsaru","#TechnologyGyan, #manojsaru"
20-02-2021,15:18:37,1983608,146724,719,"Fun Trick🔥🤪
.
.
.
.
.
.
.
.
.
#computer #Html #Hacks #Tips #Tricks #tech #techvideos #techmeme #ManojSaru #TechnologyGyan #techinfluencer #techyoutuber #youtubers #indianyoutuber #Learn #Howto #tipsandtricks #Gadgets
#Windows #Mac #Laptop #Computer","#computer, #Html, #Hacks, #Tips, #Tricks, #tech, #techvideos, #techmeme, #ManojSaru, #TechnologyGyan, #techinfluencer, #techyoutuber, #youtubers, #indianyoutuber, #Learn, #Howto, #tipsandtricks, #Gadgets, #Windows, #Mac, #Laptop, #Computer"
19-02-2021,13:15:30,840439,67616,159,"OneClick Mein 😎🔥
.
.
.
.
.
.
.
.
.
#reels #Howto #background #Tips #Tricks #howto #Gadgets #Tech #TechnologyGyan #ManojSaru #photography #videography #gadgets #Facts #techyoutuber #learn #smartphone #Phone","#reels, #Howto, #background, #Tips, #Tricks, #howto, #Gadgets, #Tech, #TechnologyGyan, #ManojSaru, #photography, #videography, #gadgets, #Facts, #techyoutuber, #learn, #smartphone, #Phone"
18-02-2021,13:31:30,166069,22853,101,"Asli iphone sirf ₹10,000 Mein 😅😂
⚡️Like & Follow for more Tech Tips⚡️
.
.
.
.
.
.
.
.
#reels
#iphone #iphone12 #appleiphone #buyiphone #Tips #Tech #Tricks #Howto #Technology #Gadgets #technews #influencer #techinfluencer #Youtuber #techyoutuber #Unboxing #gadgets #learn","#reels, #iphone, #iphone12, #appleiphone, #buyiphone, #Tips, #Tech, #Tricks, #Howto, #Technology, #Gadgets, #technews, #influencer, #techinfluencer, #Youtuber, #techyoutuber, #Unboxing, #gadgets, #learn"
